"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.613212292E0,-2.014810181E-1,4.311035156E-2,9.757010193E0,9.759185468E0
2.623187292E0,-1.953437805E-1,5.284011841E-2,9.761500854E0,9.763598220E0
2.633162292E0,-1.920506287E-1,5.508544922E-2,9.765093384E0,9.767137075E0
2.643137292E0,-1.923500061E-1,4.625381470E-2,9.762848053E0,9.764852280E0
2.653113292E0,-1.917512512E-1,4.700225830E-2,9.763446808E0,9.765442710E0
2.663088292E0,-2.022294617E-1,4.849914551E-2,9.759704590E0,9.761920026E0
2.673064292E0,-1.911524963E-1,4.745132446E-2,9.768985291E0,9.770970500E0
2.683040292E0,-1.972897339E-1,4.819976807E-2,9.760602722E0,9.762715399E0
2.693016292E0,-1.939965820E-1,5.119354248E-2,9.765392761E0,9.767453672E0
2.702991292E0,-1.980381775E-1,5.328918457E-2,9.764943695E0,9.767097021E0
2.712966292E0,-1.962419128E-1,4.610412598E-2,9.759405212E0,9.761486904E0
2.722941292E0,-2.058219910E-1,4.685256958E-2,9.767189026E0,9.769469756E0
2.732916292E0,-2.007325745E-1,4.445755005E-2,9.754615173E0,9.756781602E0
2.742891292E0,-1.929487610E-1,5.284011841E-2,9.772128754E0,9.774176266E0
2.752867292E0,-1.942959595E-1,4.251159668E-2,9.758956146E0,9.760982697E0
2.762842292E0,-1.947450256E-1,4.370910645E-2,9.751771088E0,9.753813380E0
2.772817292E0,-2.032772827E-1,3.637435913E-2,9.760902100E0,9.763086323E0
2.782792292E0,-1.969903564E-1,4.715194702E-2,9.766739960E0,9.768840154E0
2.792766292E0,-1.989363098E-1,5.254074097E-2,9.751920776E0,9.754091194E0
2.802740292E0,-2.020797729E-1,4.819976807E-2,9.753118286E0,9.755330633E0
2.812715292E0,-1.910028076E-1,4.131408691E-2,9.766739960E0,9.768694814E0
2.822690292E0,-1.932481384E-1,4.879852295E-2,9.763596497E0,9.765630686E0
2.832664292E0,-1.868115234E-1,4.924758911E-2,9.766141205E0,9.768051899E0
2.842639292E0,-1.898052979E-1,5.358856201E-2,9.754166107E0,9.756159810E0
2.852613292E0,-1.930984497E-1,4.236190796E-2,9.758058014E0,9.760060335E0
2.862587292E0,-2.043251038E-1,4.296066284E-2,9.771230621E0,9.773461118E0
2.872562292E0,-2.046244812E-1,4.550537109E-2,9.754315796E0,9.756567971E0
2.882537292E0,-1.938468933E-1,4.206253052E-2,9.769134979E0,9.771148557E0
2.892512292E0,-1.899549866E-1,3.577560425E-2,9.759405212E0,9.761319219E0
2.902487292E0,-1.923500061E-1,4.760101318E-2,9.755962372E0,9.757974492E0
2.912461292E0,-2.002835083E-1,5.074447632E-2,9.766889648E0,9.769074771E0
2.922436292E0,-2.026785278E-1,5.254074097E-2,9.770033112E0,9.772276404E0
2.932411292E0,-2.047741699E-1,4.640350342E-2,9.761201477E0,9.763459429E0
2.942386292E0,-2.011816406E-1,4.281097412E-2,9.767488403E0,9.769653860E0
2.952361292E0,-1.950444031E-1,4.415817261E-2,9.766141205E0,9.768188486E0
2.962337292E0,-1.992356873E-1,5.418731689E-2,9.770931244E0,9.773112529E0
2.972312292E0,-1.972897339E-1,5.074447632E-2,9.755213928E0,9.757340674E0
2.982288292E0,-1.889071655E-1,4.625381470E-2,9.753866730E0,9.755805529E0
2.992263292E0,-1.954934692E-1,4.984634399E-2,9.760752411E0,9.762837189E0
3.002237292E0,-1.981878662E-1,4.984634399E-2,9.774673462E0,9.776809519E0
3.012211292E0,-1.959425354E-1,4.490661621E-2,9.772278442E0,9.774345811E0
3.022185292E0,-2.004331970E-1,5.194198608E-2,9.759704590E0,9.761900692E0
3.032159292E0,-1.923500061E-1,4.161346436E-2,9.755662994E0,9.757647804E0
3.042134292E0,-1.904040527E-1,4.206253052E-2,9.752369843E0,9.754319069E0
3.052108292E0,-1.965412903E-1,4.730163574E-2,9.754914551E0,9.757008959E0
3.062083292E0,-1.957928467E-1,4.909790039E-2,9.767937469E0,9.770022920E0
3.072058292E0,-1.945953369E-1,4.505630493E-2,9.749825134E0,9.751870978E0
3.082033292E0,-1.989363098E-1,4.595443726E-2,9.764344940E0,9.766479385E0
3.092007292E0,-1.972897339E-1,5.688171387E-2,9.767937469E0,9.770095249E0
3.101982292E0,-1.972897339E-1,5.942642212E-2,9.754764862E0,9.756940722E0
3.111957292E0,-2.020797729E-1,4.625381470E-2,9.771230621E0,9.773429465E0
3.121933292E0,-1.932481384E-1,4.415817261E-2,9.767039337E0,9.769050732E0
3.131905542E0,-2.020797729E-1,5.014572144E-2,9.757908325E0,9.760129390E0
3.141881542E0,-2.047741699E-1,4.086502075E-2,9.770631866E0,9.772862911E0
3.151856542E0,-2.017803955E-1,4.400848389E-2,9.754016418E0,9.756202559E0
