"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
5.144844163E-1,1.800364642E-2,2.479368370E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.186469993E-1,1.768752149E-2,2.469651696E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.228095833E-1,1.791293473E-2,2.477032843E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.269721663E-1,1.779896531E-2,2.470201427E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.311347493E-1,1.773803498E-2,2.469749744E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.352972913E-1,1.774235076E-2,2.473502286E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.394599163E-1,1.765774177E-2,2.463981434E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.436225413E-1,1.786336956E-2,2.472766100E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.477850833E-1,1.793871805E-2,2.469603223E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.519477083E-1,1.786473882E-2,2.477051020E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.561102083E-1,1.788504675E-2,2.481551592E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.602728743E-1,1.781864266E-2,2.477231693E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.644354163E-1,1.801532769E-2,2.479048336E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.685979993E-1,1.792913980E-2,2.481881815E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.727605413E-1,1.767194864E-2,2.473659824E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.769231663E-1,1.789146555E-2,2.475630976E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.810857493E-1,1.779917660E-2,2.472875164E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.852483333E-1,1.782516793E-2,2.473639443E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.894109163E-1,1.796492066E-2,2.475784107E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.935734993E-1,1.789820047E-2,2.475007434E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.977361243E-1,1.795692295E-2,2.478877028E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.018986243E-1,1.794987193E-2,2.479378835E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.060612913E-1,1.802290447E-2,2.478143871E1,1.502300000E-5,1.600000024E0,5.000000000E1
