"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.621598958E0,-2.778222656E-1,1.550326080E0,1.065634003E1,1.077210652E1
1.631526958E0,-1.965412903E-1,1.771566010E0,1.078731766E1,1.093358573E1
1.641454958E0,-1.660047913E-1,1.913021851E0,1.087413712E1,1.104237602E1
1.651383958E0,-1.950444031E-1,2.116448822E0,1.091844498E1,1.112339151E1
1.661311958E0,-2.137554932E-1,2.188299408E0,1.091305618E1,1.113234661E1
1.671240958E0,-2.007325745E-1,2.040706329E0,1.103026245E1,1.121924532E1
1.681168958E0,-3.112028503E-1,1.728156281E0,1.122036713E1,1.135693664E1
1.691097958E0,-5.602848816E-1,1.389111328E0,1.139520355E1,1.149322467E1
1.701025958E0,-8.608598328E-1,1.208586731E0,1.147169449E1,1.156726139E1
1.710954958E0,-1.028511200E0,1.228046265E0,1.153381531E1,1.164451925E1
1.720882958E0,-1.024020538E0,1.408870239E0,1.162976578E1,1.175946366E1
1.730811958E0,-8.087681580E-1,1.666334839E0,1.162781982E1,1.177442022E1
1.740739958E0,-5.825885010E-1,1.870210876E0,1.165491348E1,1.181838002E1
1.750667958E0,-4.740641785E-1,2.023342438E0,1.177765823E1,1.195959384E1
1.760596958E0,-3.888912964E-1,2.166594543E0,1.193842392E1,1.213965955E1
1.770524958E0,-2.793191528E-1,2.233505402E0,1.219199661E1,1.239803803E1
1.780453958E0,-2.477348328E-1,2.252515869E0,1.248583557E1,1.268981049E1
1.790381958E0,-1.865121460E-1,2.287093964E0,1.268971161E1,1.289551729E1
1.800310958E0,-2.453398132E-1,2.390229492E0,1.292232788E1,1.314381781E1
1.810238958E0,-3.293151855E-1,2.497406616E0,1.312246170E1,1.336205409E1
1.820167958E0,-2.618055725E-1,2.635269928E0,1.319610855E1,1.345921508E1
1.830095958E0,-1.402583313E-1,2.773731995E0,1.331286575E1,1.359947264E1
1.840023958E0,8.083190918E-3,2.896327057E0,1.341689941E1,1.372595955E1
1.849952958E0,1.336720276E-1,2.935545502E0,1.343590988E1,1.375350755E1
1.859880958E0,1.673519897E-1,2.912493439E0,1.348770218E1,1.379959183E1
1.869809958E0,2.035766602E-1,2.903362427E0,1.357467133E1,1.388317897E1
1.879737958E0,1.962419128E-1,2.845283203E0,1.358739487E1,1.388349548E1
1.889666958E0,1.841171265E-1,2.907553711E0,1.355012238E1,1.385978297E1
1.899594958E0,1.607656860E-1,3.060984650E0,1.348291214E1,1.382694443E1
1.909523958E0,1.818717957E-1,3.244503021E0,1.333427124E1,1.372452792E1
1.919451958E0,2.363584900E-1,3.488495636E0,1.323397980E1,1.368808564E1
1.929380958E0,2.576142883E-1,3.569926300E0,1.323891953E1,1.371421631E1
1.939308958E0,2.017803955E-1,3.528163147E0,1.331106949E1,1.377219015E1
1.949236958E0,-4.221221924E-2,3.331472168E0,1.331600922E1,1.372649227E1
1.959165958E0,-4.107458496E-1,3.034190369E0,1.323697357E1,1.358648198E1
1.969093958E0,-6.824308777E-1,2.766996002E0,1.317949310E1,1.348410239E1
1.979022958E0,-9.587562561E-1,2.603086853E0,1.313279022E1,1.342257255E1
1.988950958E0,-1.116079102E0,2.749781799E0,1.298429901E1,1.331911984E1
1.998879958E0,-9.554631042E-1,3.115621033E0,1.282293457E1,1.323055763E1
2.008807958E0,-5.954617310E-1,3.465742950E0,1.275707153E1,1.323286904E1
2.018736958E0,-4.489164734E-1,3.693718872E0,1.277862671E1,1.330933453E1
2.028664958E0,-4.706213379E-1,3.663481750E0,1.281485138E1,1.333652874E1
2.038593958E0,-6.450086975E-1,3.479963379E0,1.281260605E1,1.329244353E1
2.048521958E0,-8.843609619E-1,3.287463684E0,1.279554153E1,1.324067200E1
2.058449958E0,-1.107397156E0,3.129841461E0,1.281380356E1,1.323691043E1
2.068378958E0,-1.215921478E0,3.089425507E0,1.277997391E1,1.320419434E1
2.078306958E0,-1.098116455E0,3.304079132E0,1.272174500E1,1.318960175E1
2.088235958E0,-7.045848083E-1,3.623365173E0,1.265573227E1,1.318304874E1
2.098163958E0,-3.095562744E-1,3.856580200E0,1.250245102E1,1.308741065E1
2.108092958E0,-1.317260742E-2,4.115541687E0,1.227133163E1,1.294308452E1
2.118020958E0,1.185534668E-1,4.075874176E0,1.186642365E1,1.254746251E1
2.127949958E0,-9.175918579E-2,3.788022766E0,1.135763168E1,1.197302525E1
2.137877958E0,-4.722679138E-1,3.551065521E0,1.085557571E1,1.143138782E1
2.147805958E0,-7.568261719E-1,3.283721466E0,1.044737457E1,1.097739714E1
2.157734958E0,-8.774752808E-1,3.148253174E0,1.015054184E1,1.066372170E1
2.167662958E0,-8.699908447E-1,3.234324188E0,9.976753235E0,1.052394138E1
2.177591958E0,-6.921606445E-1,3.285368042E0,9.942025452E0,1.049364568E1
2.187519958E0,-4.942721558E-1,3.299588470E0,1.002869522E1,1.056912091E1
2.197448958E0,-4.276606750E-1,3.324137421E0,1.016131943E1,1.069977550E1
2.207376958E0,-3.902384949E-1,3.199895782E0,1.022448807E1,1.072062383E1
2.217305958E0,-5.025050354E-1,3.101550293E0,1.026086243E1,1.073114268E1
2.227233958E0,-6.586303711E-1,2.991080017E0,1.037073395E1,1.081353209E1
2.237162958E0,-7.207511902E-1,2.901266785E0,1.040471329E1,1.082565886E1
2.247090958E0,-7.556286621E-1,2.902613983E0,1.029259644E1,1.072071285E1
2.257018958E0,-7.979905701E-1,2.888992310E0,1.006806335E1,1.050471157E1
2.266947958E0,-8.893006897E-1,2.836152191E0,9.790989532E0,1.023220851E1
2.276875958E0,-9.913883972E-1,2.845582581E0,9.506281586E0,9.972441063E0
2.286804958E0,-9.999206543E-1,2.927312622E0,9.270671539E0,9.773144391E0
2.296732958E0,-9.419911194E-1,2.968477020E0,8.980874176E0,9.505540703E0
2.306661958E0,-8.807684326E-1,2.955903168E0,8.693322144E0,9.224259670E0
2.316589958E0,-8.963360596E-1,2.930456085E0,8.381520538E0,8.924173784E0
2.326518958E0,-9.139993286E-1,2.859054565E0,8.076454926E0,8.616188946E0
2.336446958E0,-9.231303406E-1,2.816692657E0,7.764204254E0,8.310763795E0
2.346375958E0,-9.357041931E-1,2.824177094E0,7.464826813E0,8.035866969E0
2.356303958E0,-8.821156311E-1,2.751128998E0,7.223079529E0,7.779441923E0
2.366231958E0,-7.852670288E-1,2.642754364E0,7.122788086E0,7.637729051E0
2.376160958E0,-7.788304138E-1,2.571352844E0,6.985074463E0,7.483962688E0
2.386088958E0,-7.798782349E-1,2.465971985E0,6.912774811E0,7.380764424E0
2.396017958E0,-7.607180786E-1,2.375110931E0,6.864874420E0,7.303858209E0
2.405945958E0,-8.327183533E-1,2.307900696E0,6.836732941E0,7.263659049E0
2.415874958E0,-8.653504944E-1,2.268981628E0,6.938221893E0,7.350920497E0
2.425802958E0,-8.337661743E-1,2.254312134E0,7.075636139E0,7.472731495E0
2.435731958E0,-8.065228271E-1,2.292183380E0,7.210056610E0,7.608514969E0
2.445659958E0,-7.455995178E-1,2.225272522E0,7.435188446E0,7.796780340E0
2.455587958E0,-6.894662476E-1,2.238894196E0,7.715555420E0,8.063361976E0
2.465516958E0,-6.426136780E-1,2.210603027E0,7.868237915E0,8.198102584E0
2.475444958E0,-6.671626282E-1,2.060614929E0,7.941286011E0,8.231358537E0
2.485373958E0,-6.593788147E-1,1.989662476E0,8.027806091E0,8.296939666E0
2.495301958E0,-6.508465576E-1,1.975591736E0,8.029602356E0,8.294641520E0
